"Region","total_households","water_tank","water_piped","water_well","toilet_flush","toilet_pit latrine","toilet_vip","toilet_water sealed"
"Pango",486.365911492837,111.000366111705,350.840442888782,7.92859757940751,281.465214068967,0.991074697425938,14.8661204613891,159.563026285577
"Erakor",3298.47690356345,1300.2528408245,1744.92805478612,68.9528021649355,1234.11443874793,807.732825360673,512.220816082378,575.544818070584
"Eratap",1825.63717105486,1228.41838753838,286.550352211218,178.942835980001,431.639138140948,530.783141859598,174.106543115677,249.069082512704
"Eton",896.651622087837,497.098121268336,217.629081799296,34.4876687004348,78.4891770423689,435.258163598591,91.5707065494305,239.035220992669
"Tafea",10905.5906037098,2323.61771956576,6736.47523874807,319.137136374346,367.451310598327,6409.4857350281,2850.9527989246,65.4433447150727
"North Erromango",374.158737182642,156.945779019564,202.146163377199,0,12.5556623215652,91.6563349474257,86.6340700187996,7.5333973929391
"South Erromango",151.382492979637,77.6658007460748,42.1238241334643,0,1.31636950417076,7.89821702502455,0,0
"Aniwa",140.043923990882,133.156517892969,0,1.1479010163187,0,25.2538223590114,112.494299599233,1.1479010163187
"North Tanna",1021.95989506718,232.851621660875,396.318164139975,2.35203658243308,3.52805487364963,733.835413719122,95.25748158854,14.1122194945985
"West Tanna",3601.9013798503,1033.83432558829,2224.72862384526,113.911628528927,281.327203791138,2100.46139272279,923.374564590546,29.3408740150267
"Middle Bush Tanna",1581.98340313245,578.632859175593,435.465966183695,46.5292402223673,20.2819765071858,804.120715637835,538.068906161222,5.96528720799581
"South West Tanna",1424.05385466799,27.0418737295996,1214.30890128631,96.5781204628558,14.1647910012189,919.423706806388,359.270608121824,1.28770827283808
"Whitesands",1782.97527561199,38.1475183434183,1596.04294488431,45.5309089905316,18.458476617783,1314.24353518615,425.775527316862,3.69169532355661
"South Tanna",403.851005201499,12.6599061191693,349.413408889071,7.59594367150156,11.3939155072523,137.992976698945,221.548357085463,1.26599061191693
"Futuna",87.3229637301334,0.831647273620318,84.8280219092724,0,3.32658909448127,3.32658909448127,69.8583709841067,0
"Aneityum",335.957672295088,31.8498700165863,191.099220099518,5.49135689941143,1.09827137988229,271.273030830925,18.6706134579988,1.09827137988229
"Canal Fanafo",1057.72433363789,719.578798956423,166.597044109855,110.395631639061,68.2445722859648,562.014124707945,283.014255656501,26.0935129328689
